Entry,Urine,Plasma,Serum,Max,DeltaUrine,DeltaPlasma,DeltaSerum,FlagUrine,FlagPlasma,FlagSerum
A0A337SEF0,22.8,18.6,19,22.8,0,4.2,3.8,0,1,1
M3W950,19.5,23.8,23.6,23.8,4.3,0,0.2,1,0,0
Q52R91,18.1,10.8,10.7,18.1,0,7.3,7.4,0,1,1
A0A5F5XGZ4,25.8,26.9,27.2,27.2,1.4,0.3,0,1,0,0
A0A337SFJ9,19.5,12.7,11.9,19.5,0,6.8,7.6,0,1,1
A0A5F5XCZ2,21,11,10.7,21,0,10,10.3,0,1,1
A0A2I2UDB3,19.5,17.6,17.7,19.5,0,1.9,1.8,0,1,1
A0A337SU79,17.8,18.6,18.7,18.7,0.9,0.1,0,0,0,0
M3W0W8,22.8,17.8,18,22.8,0,5,4.8,0,1,1
A0A337S8C4,19.6,14,15.8,19.6,0,5.6,3.8,0,1,1
A0A5F5Y7M8,18.9,19.5,18.9,19.5,0.6,0,0.6,0,0,0
M3WXJ4,22.7,20.5,20.8,22.7,0,2.2,1.9,0,1,1
M3X6F1,20.2,13.5,12.6,20.2,0,6.7,7.6,0,1,1
A0A337SL92,22,18.9,18.8,22,0,3.1,3.2,0,1,1
A0A337SGE0,23.6,19,19.9,23.6,0,4.6,3.7,0,1,1
M3WI48,19.2,17.1,16.9,19.2,0,2.1,2.3,0,1,1
M3WF53,21.9,19.3,19.7,21.9,0,2.6,2.2,0,1,1
M3WKI3,26.7,22.7,22.4,26.7,0,4,4.3,0,1,1
A0A2I2UED7,15.2,15.5,14.2,15.5,0.3,0,1.3,0,0,1
A0A2I2U6F0,22.7,22.2,22.1,22.7,0,0.5,0.6,0,0,0
M3VWY2,21,19.1,18.7,21,0,1.9,2.3,0,1,1
A0A2I2UE55,22,22.7,23,23,1,0.3,0,1,0,0
A0A337SW69,19.8,15,14.9,19.8,0,4.8,4.9,0,1,1
M3WNY6,21.9,20.5,20.6,21.9,0,1.4,1.3,0,1,1
A0A337SD38,23.7,21.1,21.1,23.7,0,2.6,2.6,0,1,1
A0A2I2UVX8,19.1,16.2,16.1,19.1,0,2.9,3,0,1,1
M3VW19,20.6,18.1,17.1,20.6,0,2.5,3.5,0,1,1
A0A2I2U499,17.7,20.4,22.3,22.3,4.6,1.9,0,1,1,0
A0A2I2UWU9,23.3,19.2,18.8,23.3,0,4.1,4.5,0,1,1
M3W2V0,24.1,25.7,25.9,25.9,1.8,0.2,0,1,0,0
A0A337S9Y3,24.1,24.3,24.8,24.8,0.7,0.5,0,0,0,0
M3VU87,21.3,20.7,20.3,21.3,0,0.6,1,0,0,0
M3WKP2,23.3,23.9,23.9,23.9,0.6,0,0,0,0,0
A0A5F5XGP3,29,29.4,29.3,29.4,0.4,0,0.1,0,0,0
A0A5F5XKE9,22.2,19.9,21.6,22.2,0,2.3,0.6,0,1,0
A0A337SUS1,23.3,21.7,20.8,23.3,0,1.6,2.5,0,1,1
M3W9A2,22.6,19.1,19.1,22.6,0,3.5,3.5,0,1,1
A0A337SGM0,20.3,15.8,16.9,20.3,0,4.5,3.4,0,1,1
M3WWG3,19.1,19.4,19.2,19.4,0.3,0,0.2,0,0,0
A0A337RVG5,23.2,21.2,21,23.2,0,2,2.2,0,1,1
A0A2I2U968,21.3,18.8,19.2,21.3,0,2.5,2.1,0,1,1
A0A2I2UN28,28.8,17,17.2,28.8,0,11.8,11.6,0,1,1
M3WFG2,18,15.3,15.6,18,0,2.7,2.4,0,1,1
A0A337S496,21.7,17.7,17.3,21.7,0,4,4.4,0,1,1
A0A2I2U432,27.3,23.7,23.5,27.3,0,3.6,3.8,0,1,1
A0A337RZD5,23.6,22,21.8,23.6,0,1.6,1.8,0,1,1
A0A337RV83,25.8,22.3,22,25.8,0,3.5,3.8,0,1,1
A0A5F5XC75,25.2,21.3,21.6,25.2,0,3.9,3.6,0,1,1
M3W2F5,23.1,17.5,17.9,23.1,0,5.6,5.2,0,1,1
A0A5F5XYM1,23.1,18.3,19.3,23.1,0,4.8,3.8,0,1,1
M3WVN3,20.9,17.1,16.9,20.9,0,3.8,4,0,1,1
M3WPE0,21.5,11.7,11.3,21.5,0,9.8,10.2,0,1,1
A0A5F5Y1B8,24.2,20.9,20.4,24.2,0,3.3,3.8,0,1,1
A0A5F5Y4J4,19.7,17.3,17.3,19.7,0,2.4,2.4,0,1,1
A0A5F5XGS9,23.3,20.1,20.3,23.3,0,3.2,3,0,1,1
A0A337RYM9,20.3,18.3,18.8,20.3,0,2,1.5,0,1,1
A0A337SN04,21.4,21,19.5,21.4,0,0.4,1.9,0,0,1
A0A2I2UD65,25.8,25.2,23.5,25.8,0,0.6,2.3,0,0,1
A0A5F5XGI4,23.3,18.7,18.8,23.3,0,4.6,4.5,0,1,1
M3WLD9,20.7,19.2,19,20.7,0,1.5,1.7,0,1,1
A0A2I2U2C4,21.9,19.3,19.1,21.9,0,2.6,2.8,0,1,1
A0A337S4V9,27.7,21.2,21.3,27.7,0,6.5,6.4,0,1,1
A0A337RW59,27.1,24.4,24.6,27.1,0,2.7,2.5,0,1,1
M3WHG4,24.5,19.2,18.7,24.5,0,5.3,5.8,0,1,1
A0A2I2U7G3,19.8,16.2,16.3,19.8,0,3.6,3.5,0,1,1
A0A2I2UH03,17.5,18.4,18.7,18.7,1.2,0.3,0,1,0,0
A0A2I2U3V7,20.6,20.9,21.4,21.4,0.8,0.5,0,0,0,0
A0A2I2U1P2,27.3,22.2,23.9,27.3,0,5.1,3.4,0,1,1
M3WN82,18.7,15.3,15.3,18.7,0,3.4,3.4,0,1,1
A0A5F5XKH5,17.1,16.1,15.2,17.1,0,1,1.9,0,1,1
A0A337S2A4,23.2,21.9,22.6,23.2,0,1.3,0.6,0,1,0
M3VWP9,21.7,19,17.7,21.7,0,2.7,4,0,1,1
A0A337RVF9,25.5,22.5,22,25.5,0,3,3.5,0,1,1
A0A2I2U8E4,27.8,28.4,28.9,28.9,1.1,0.5,0,1,0,0
A0A5F5XZM2,24.7,22.3,22.5,24.7,0,2.4,2.2,0,1,1
M3WKB7,23.4,20.5,20.7,23.4,0,2.9,2.7,0,1,1
A0A2I2U0Y4,23,19.6,19.5,23,0,3.4,3.5,0,1,1
A0A2I2UAE6,23.8,24.4,24.6,24.6,0.8,0.2,0,0,0,0
A0A337SN31,20.6,20.4,19.7,20.6,0,0.2,0.9,0,0,0
M3WGH2,23.4,23.8,24.4,24.4,1,0.6,0,1,0,0
M3WMF1,24.7,26.3,26.4,26.4,1.7,0.1,0,1,0,0
A0A2I2V326,21.7,17.7,17.8,21.7,0,4,3.9,0,1,1
A0A337SJW2,24.4,21.5,21.6,24.4,0,2.9,2.8,0,1,1
A0A2I2U0K1,22.5,17.3,17.7,22.5,0,5.2,4.8,0,1,1
A0A337SEH6,18.8,18.1,15.9,18.8,0,0.7,2.9,0,0,1
U5TLB4,21,20.7,20.8,21,0,0.3,0.2,0,0,0
A0A0K2YWB3,18.5,17,16.5,18.5,0,1.5,2,0,1,1
A0A337SSG2,20.4,16.4,18.6,20.4,0,4,1.8,0,1,1
A0A337SJR3,20.6,17.8,18.1,20.6,0,2.8,2.5,0,1,1
A0A337SV16,21.5,15.6,16,21.5,0,5.9,5.5,0,1,1
A0A337SRL8,24.6,23.2,23.7,24.6,0,1.4,0.9,0,1,0
A0A5F5XYI6,15,14.2,15.5,15.5,0.5,1.3,0,0,1,0
M3WK50,23.8,20.4,21,23.8,0,3.4,2.8,0,1,1
A0A5F5XJY1,22,19.7,20.4,22,0,2.3,1.6,0,1,1
A0A337S172,21.9,19.5,18.7,21.9,0,2.4,3.2,0,1,1
M3WNB8,17.5,16.6,15.4,17.5,0,0.9,2.1,0,0,1
A0A2I2UC81,29.5,19.6,19.7,29.5,0,9.9,9.8,0,1,1
A0A5F5XVE8,16,18.9,18.3,18.9,2.9,0,0.6,1,0,0
A0A5F5Y1N6,13,18.9,18.4,18.9,5.9,0,0.5,1,0,0
A0A337SBA6,22.3,21.1,20.1,22.3,0,1.2,2.2,0,1,1
M3W544,16.3,16,16.4,16.4,0.1,0.4,0,0,0,0
A0A5F5XWB9,26.7,27.3,27,27.3,0.6,0,0.3,0,0,0
A0A2I2UDI7,27.2,22,21.8,27.2,0,5.2,5.4,0,1,1
A0A5F5XI25,21.6,18,18.4,21.6,0,3.6,3.2,0,1,1
A0A5F5XUR3,16.7,13.7,13.7,16.7,0,3,3,0,1,1
A0A337SVX9,18.9,19.2,18.6,19.2,0.3,0,0.6,0,0,0
A0A337SMK6,22.6,20.1,21,22.6,0,2.5,1.6,0,1,1
P13369,18.1,13.6,13.1,18.1,0,4.5,5,0,1,1
M3WGW7,26.2,20.7,20.6,26.2,0,5.5,5.6,0,1,1
D5MTH1,23,20.7,21,23,0,2.3,2,0,1,1
M3WIK5,27.4,21.1,20.9,27.4,0,6.3,6.5,0,1,1
Q8WNR9,21.5,18,17.6,21.5,0,3.5,3.9,0,1,1
A0A337SE08,21.5,16.5,16.8,21.5,0,5,4.7,0,1,1
A0A337SJE3,24.2,22.9,22,24.2,0,1.3,2.2,0,1,1
A0A337SHY2,21.4,20.7,20.2,21.4,0,0.7,1.2,0,0,1
A0A2I2U5B1,18.6,17.5,17.9,18.6,0,1.1,0.7,0,1,0
A0A5F5XDM8,25.7,20.6,20.7,25.7,0,5.1,5,0,1,1
M3W019,24.1,17.2,18.4,24.1,0,6.9,5.7,0,1,1
M3WHR1,22.7,20,20.7,22.7,0,2.7,2,0,1,1
A0A337SMR1,23.5,22,21.6,23.5,0,1.5,1.9,0,1,1
M3WLU0,25.2,22.7,23.1,25.2,0,2.5,2.1,0,1,1
M3W9M0,25.2,21.5,21.4,25.2,0,3.7,3.8,0,1,1
M3W8G3,26,20.9,21.2,26,0,5.1,4.8,0,1,1
M3W7M8,20.8,19.1,18.9,20.8,0,1.7,1.9,0,1,1
M3WGI2,20.5,13.8,14,20.5,0,6.7,6.5,0,1,1
A0A337SUC3,21.6,19.7,19.7,21.6,0,1.9,1.9,0,1,1
M3W0Q2,18.3,18.9,19.1,19.1,0.8,0.2,0,0,0,0
M3WUC1,21.8,18.9,17.9,21.8,0,2.9,3.9,0,1,1
A0A337RZ12,25,20.2,20,25,0,4.8,5,0,1,1
M3W0Q1,23.9,18.1,17.9,23.9,0,5.8,6,0,1,1
A0A5F5XBP7,26.1,19.7,18.9,26.1,0,6.4,7.2,0,1,1
M3VVI7,25.5,20.1,18.5,25.5,0,5.4,7,0,1,1
M3WJ25,29.2,25.7,25.6,29.2,0,3.5,3.6,0,1,1
A0A2I2UJG2,20,15.2,15.7,20,0,4.8,4.3,0,1,1
A0A2I2UQ66,24.2,20.8,20.8,24.2,0,3.4,3.4,0,1,1
O62657,22.1,19.4,20.5,22.1,0,2.7,1.6,0,1,1
M3WSR7,22,18.5,18.1,22,0,3.5,3.9,0,1,1
M3VWB9,22,20,19.9,22,0,2,2.1,0,1,1
A0A337S6Y2,22,19.9,19.2,22,0,2.1,2.8,0,1,1
A0A337SFQ4,23.7,22,22.2,23.7,0,1.7,1.5,0,1,1
A0A2I2U6R0,22.1,16.2,17.1,22.1,0,5.9,5,0,1,1
A0A337SMV2,22.8,18,18,22.8,0,4.8,4.8,0,1,1
A0A337S0Q6,20.1,16.5,16.5,20.1,0,3.6,3.6,0,1,1
M3WFI7,19.7,16.3,16.4,19.7,0,3.4,3.3,0,1,1
A0A2I2U3S0,22.6,20.1,19.7,22.6,0,2.5,2.9,0,1,1
M3XC02,26,23.8,23.2,26,0,2.2,2.8,0,1,1
A0A337SE70,24.1,21.8,22,24.1,0,2.3,2.1,0,1,1
A0A2I2UUM4,25.8,17.2,16.6,25.8,0,8.6,9.2,0,1,1
A0A337S785,25.8,23,23.4,25.8,0,2.8,2.4,0,1,1
A0A337SIN6,22.2,16.4,16.1,22.2,0,5.8,6.1,0,1,1
A0A2I2U119,23.7,17.1,17,23.7,0,6.6,6.7,0,1,1
M3X710,23.9,20.9,21.3,23.9,0,3,2.6,0,1,1
M3W5T1,23.2,18.9,19.3,23.2,0,4.3,3.9,0,1,1
A0A5F5XLL3,19.6,14.3,12.8,19.6,0,5.3,6.8,0,1,1
A0A5F5XE39,21.9,18.4,18.5,21.9,0,3.5,3.4,0,1,1
A0A337S6Z7,16.4,10.2,10.3,16.4,0,6.2,6.1,0,1,1
A0A5F5XJC4,24,23.2,23.1,24,0,0.8,0.9,0,0,0
A0A5F5XEB8,21.7,21,20.7,21.7,0,0.7,1,0,0,0
A0A337S1A5,17.9,18.9,18.3,18.9,1,0,0.6,1,0,0
A0A5F5XF61,16.6,19.3,18,19.3,2.7,0,1.3,1,0,1
M3WGM9,30.8,20.9,22.8,30.8,0,9.9,8,0,1,1
A0A2I2UNJ5,22.3,17.7,17.9,22.3,0,4.6,4.4,0,1,1
M3VUU5,24.3,19.2,19.1,24.3,0,5.1,5.2,0,1,1
A0A5F5XGS4,21.9,16.5,17,21.9,0,5.4,4.9,0,1,1
M3W0Z1,24.6,22.6,22.2,24.6,0,2,2.4,0,1,1
A0A337S046,16.2,12.9,11.8,16.2,0,3.3,4.4,0,1,1
Q9N2I7,29,22,21.5,29,0,7,7.5,0,1,1
A0A5F5XVS8,25.6,21,21.3,25.6,0,4.6,4.3,0,1,1
M3XE34,28.9,20.3,20.1,28.9,0,8.6,8.8,0,1,1
A0A2I2U844,23.5,19.9,20,23.5,0,3.6,3.5,0,1,1
A0A5F5XFR8,21,17.8,18.6,21,0,3.2,2.4,0,1,1
A0A2I2UZA9,25.2,19.9,19.5,25.2,0,5.3,5.7,0,1,1
A0A2I2UGD4,24.8,24.2,24.4,24.8,0,0.6,0.4,0,0,0
A0A2I2UCR1,21.5,19.7,19.6,21.5,0,1.8,1.9,0,1,1
A0A337SP25,21.5,19,18.4,21.5,0,2.5,3.1,0,1,1
M3WCK3,22.6,22.9,21.2,22.9,0.3,0,1.7,0,0,1
A0A2I2UFE0,21.4,16.7,16.2,21.4,0,4.7,5.2,0,1,1
M3WM59,18.8,18.1,17.9,18.8,0,0.7,0.9,0,0,0
M3W858,15.7,15.3,15.4,15.7,0,0.4,0.3,0,0,0
M3WRY2,25.1,27.4,26.3,27.4,2.3,0,1.1,1,0,1
A0A337SPQ5,20,16.9,17.8,20,0,3.1,2.2,0,1,1
A0A337SND7,22.4,14.5,15,22.4,0,7.9,7.4,0,1,1
A0A337SDI4,17.5,17,16,17.5,0,0.5,1.5,0,0,1
A0A2I2U0I8,22.1,16.8,17,22.1,0,5.3,5.1,0,1,1
Q66RN5,24.8,24.7,24.4,24.8,0,0.1,0.4,0,0,0
M3W2D2,16.9,16.8,18.1,18.1,1.2,1.3,0,1,1,0
M3VVE6,28.2,25.5,25.3,28.2,0,2.7,2.9,0,1,1
A0A337SCW7,24.6,22.9,23,24.6,0,1.7,1.6,0,1,1
A0A337SFI6,19.3,19.4,19.6,19.6,0.3,0.2,0,0,0,0
A0A337S356,26.3,17.8,18.3,26.3,0,8.5,8,0,1,1
A0A337SBN3,23.6,18.1,18.3,23.6,0,5.5,5.3,0,1,1
A0A337S0H8,20.2,22.2,21.7,22.2,2,0,0.5,1,0,0
M3WR70,24.4,22.8,21.1,24.4,0,1.6,3.3,0,1,1
B0LDS5,24.7,22.6,21.9,24.7,0,2.1,2.8,0,1,1
A0A337SFQ1,22.9,22.2,19.3,22.9,0,0.7,3.6,0,0,1
Q95ND4,30.2,24.3,23.9,30.2,0,5.9,6.3,0,1,1
A0A2I2U1L8,20.5,13.9,13.9,20.5,0,6.6,6.6,0,1,1
A0A0P0GH12,18.9,18.9,18.4,18.9,0,0,0.5,0,0,0
A0A337S424,20.2,22.5,22.4,22.5,2.3,0,0.1,1,0,0
M3X1U0,22.5,22.4,22.2,22.5,0,0.1,0.3,0,0,0
M3WXE7,20.6,19.6,20,20.6,0,1,0.6,0,1,0
A0A5F5XQI4,20.7,17.5,16.1,20.7,0,3.2,4.6,0,1,1
A0A2I2UKH0,17.2,15.8,16.3,17.2,0,1.4,0.9,0,1,0
M3XDI4,20,20.8,20.8,20.8,0.8,0,0,0,0,0
M3WCG8,23.2,19,19,23.2,0,4.2,4.2,0,1,1
A0A2I2U322,18.2,19,18.1,19,0.8,0,0.9,0,0,0
A0A5F5XCL3,19,14.8,14.5,19,0,4.2,4.5,0,1,1
A0A337RZ59,17.8,14.4,16.1,17.8,0,3.4,1.7,0,1,1
M3W5W5,24.7,20.6,21.3,24.7,0,4.1,3.4,0,1,1
M3XDQ5,17.3,13.1,14.5,17.3,0,4.2,2.8,0,1,1
A0A5F5XSQ0,25.1,16.8,17.7,25.1,0,8.3,7.4,0,1,1
A0A2I2UVP6,21.5,18,18.6,21.5,0,3.5,2.9,0,1,1
M3XGC9,21.2,20.2,20.2,21.2,0,1,1,0,1,0
A0A2I2UTE6,22.1,19.5,19.4,22.1,0,2.6,2.7,0,1,1
A0A337S0P1,18.9,12.4,12.4,18.9,0,6.5,6.5,0,1,1
A0A2I2UHT3,20.4,17.2,17.6,20.4,0,3.2,2.8,0,1,1
A0A2I2UJ14,21.9,19.6,20,21.9,0,2.3,1.9,0,1,1
A0A2I2V5H4,20.7,16,17.4,20.7,0,4.7,3.3,0,1,1
M3VU18,25.6,21.1,21.5,25.6,0,4.5,4.1,0,1,1
A0A2I2V3L7,22,20.8,21.1,22,0,1.2,0.9,0,1,0
A0A2I2V568,24,21.5,21.6,24,0,2.5,2.4,0,1,1
A0A2I2U6N9,17.9,10.1,10,17.9,0,7.8,7.9,0,1,1
M3X1B4,20.3,21.3,21.4,21.4,1.1,0.1,0,1,0,0
M3VWW1,23.9,20.1,20.1,23.9,0,3.8,3.8,0,1,1
P11261,20.5,20.6,20.4,20.6,0.1,0,0.2,0,0,0
A0A0D5ZXZ6,12.5,11.8,10.6,12.5,0,0.7,1.9,0,0,1
M3WIV4,23.2,19.8,20.2,23.2,0,3.4,3,0,1,1
A0A5F5XZT1,24.8,20.5,20.5,24.8,0,4.3,4.3,0,1,1
A0A2I2UHA0,18.3,13.7,12.3,18.3,0,4.6,6,0,1,1
A0A2I2UV62,21.7,18.5,18.5,21.7,0,3.2,3.2,0,1,1
A0A2I2UTP3,21,10,10.3,21,0,11,10.7,0,1,1
A0A5F5XNL0,23.4,20.6,19.7,23.4,0,2.8,3.7,0,1,1
M3WPK6,23.4,14.2,14,23.4,0,9.2,9.4,0,1,1
A0A337RY03,19,14.8,14.3,19,0,4.2,4.7,0,1,1
A0A2I2UI65,23.4,21.4,19.9,23.4,0,2,3.5,0,1,1
A0A5F5Y2L8,23.7,20.1,19.5,23.7,0,3.6,4.2,0,1,1
A0A2I2V293,24.6,23.4,22.9,24.6,0,1.2,1.7,0,1,1
A0A5F5XXF9,25.8,21.7,21.4,25.8,0,4.1,4.4,0,1,1
M3WSY6,23,21.2,21.8,23,0,1.8,1.2,0,1,1
M3X4X2,19.1,15,17.3,19.1,0,4.1,1.8,0,1,1
A0A2I2UQW0,19.9,19.4,19.2,19.9,0,0.5,0.7,0,0,0
M3WVD3,18.2,17.1,14,18.2,0,1.1,4.2,0,1,1
M3VV12,23.9,24.1,24.1,24.1,0.2,0,0,0,0,0
A0A5F5XI42,16.5,22.1,22.1,22.1,5.6,0,0,1,0,0
M3WMZ2,21.6,19.2,19.6,21.6,0,2.4,2,0,1,1
A0A2I2V4V9,25,21,20.3,25,0,4,4.7,0,1,1
M3XAF3,20.2,16.3,16.8,20.2,0,3.9,3.4,0,1,1
A0A2I2UQQ2,19.4,19.6,19.1,19.6,0.2,0,0.5,0,0,0
M3XFW7,22.1,27.4,27.4,27.4,5.3,0,0,1,0,0
A0A337S6A6,18.8,21.8,21.8,21.8,3,0,0,1,0,0
A0A337S6P4,20,22,21.8,22,2,0,0.2,1,0,0
A0A2I2U6X9,26.2,26.8,26.3,26.8,0.6,0,0.5,0,0,0
M3WKC7,22.2,26.2,26,26.2,4,0,0.2,1,0,0
Q2WGK2,28.1,21,21.1,28.1,0,7.1,7,0,1,1
A0A1W7HNZ6,23.4,26,25.7,26,2.6,0,0.3,1,0,0
A0A2I2U5J7,23.7,24.8,24,24.8,1.1,0,0.8,1,0,0
A0A5F5XF87,23,24.7,24.2,24.7,1.7,0,0.5,1,0,0
M3WSI8,29.8,29.1,29.2,29.8,0,0.7,0.6,0,0,0
M3W050,21.5,17.6,18.3,21.5,0,3.9,3.2,0,1,1
A0A337SQW4,24.5,24.7,26.7,26.7,2.2,2,0,1,1,0
M3W922,19.5,19.6,20.6,20.6,1.1,1,0,1,1,0
M3WKC6,20.2,22.3,22.3,22.3,2.1,0,0,1,0,0
A0A5F5XH53,22.3,21,20.8,22.3,0,1.3,1.5,0,1,1
Q6SA95,23.3,25.2,24.9,25.2,1.9,0,0.3,1,0,0
M3WR74,19.6,18.2,18.2,19.6,0,1.4,1.4,0,1,1
A0A5F5XG15,23.9,17.8,18.6,23.9,0,6.1,5.3,0,1,1
M3WQY4,18.8,16.8,16,18.8,0,2,2.8,0,1,1
M3X9Z0,24.2,21.4,20.6,24.2,0,2.8,3.6,0,1,1
A0A5F5XIT1,17.7,14.5,14.1,17.7,0,3.2,3.6,0,1,1
A0A5F5XFP7,21.6,19.8,20.9,21.6,0,1.8,0.7,0,1,0
M3W1C3,25.6,23.2,21.7,25.6,0,2.4,3.9,0,1,1
A0A337RY82,18.1,15.2,14.5,18.1,0,2.9,3.6,0,1,1
A0A337RZ83,21,20.7,21,21,0,0.3,0,0,0,0
A0A5F5XGS1,20.3,17.2,17.8,20.3,0,3.1,2.5,0,1,1
A0A5F5Y0R2,18.6,12.4,13.3,18.6,0,6.2,5.3,0,1,1
A0A337S9Y1,21.9,16.5,17,21.9,0,5.4,4.9,0,1,1
A0A2I2UZV7,22.6,21.4,20.2,22.6,0,1.2,2.4,0,1,1
A0A2I2U2C0,19.4,18.3,18.2,19.4,0,1.1,1.2,0,1,1
M3WFK0,25.2,23.6,23.4,25.2,0,1.6,1.8,0,1,1
A0A2I2UCL3,22.7,21.7,21.9,22.7,0,1,0.8,0,1,0
A0A337SRF9,27.2,24.1,23.9,27.2,0,3.1,3.3,0,1,1
M3WZ15,23.2,24,23.1,24,0.8,0,0.9,0,0,0
A0A2I2UFJ4,24.6,20.4,20.4,24.6,0,4.2,4.2,0,1,1
A0A337S164,27.4,23.3,22.9,27.4,0,4.1,4.5,0,1,1
A0A337SXC1,23.8,16.1,15.1,23.8,0,7.7,8.7,0,1,1
A0A337S7Y7,27,20.9,21.4,27,0,6.1,5.6,0,1,1
M3WMG2,27.4,23.3,23.4,27.4,0,4.1,4,0,1,1
M3WB78,24.5,22.1,22.3,24.5,0,2.4,2.2,0,1,1
M3VXP7,18.8,17.4,17.7,18.8,0,1.4,1.1,0,1,1
A0A5F5Y0F7,24.5,25.7,25.1,25.7,1.2,0,0.6,1,0,0
A0A2I2UDZ7,22.3,21.9,18.8,22.3,0,0.4,3.5,0,0,1
A0A5F5Y6R9,16.1,14.1,13.1,16.1,0,2,3,0,1,1
Q9N2I5,23.7,21,22.1,23.7,0,2.7,1.6,0,1,1
A0A337S1R1,17.4,19.3,19.2,19.3,1.9,0,0.1,1,0,0
M3X177,13.3,17.3,17.3,17.3,4,0,0,1,0,0
A0A5F5XXG1,17.1,14.1,15.4,17.1,0,3,1.7,0,1,1
A0A337RZH0,24.1,26.6,26.6,26.6,2.5,0,0,1,0,0
P14450,16.3,25.5,17.3,25.5,9.2,0,8.2,1,0,1
M3W022,27.3,32,25.1,32,4.7,0,6.9,1,0,1
P14469,22.8,25.7,19.5,25.7,2.9,0,6.2,1,0,1
M3WII3,24.5,31.9,24.4,31.9,7.4,0,7.5,1,0,1
A0A5F5XVE3,23.7,23.8,23.9,23.9,0.2,0.1,0,0,0,0
A0A2I2UK29,25.2,21.8,22.1,25.2,0,3.4,3.1,0,1,1
A0A337S7G1,20.9,17.2,17.2,20.9,0,3.7,3.7,0,1,1
A0A5F5XGZ0,24.1,31.2,23,31.2,7.1,0,8.2,1,0,1
A0A5F5XLT1,11.6,20.3,10.4,20.3,8.7,0,9.9,1,0,1
A0A516V1E7,15.2,12.1,11.1,15.2,0,3.1,4.1,0,1,1
A0A516V1E1,16.2,15.5,16.9,16.9,0.7,1.4,0,0,1,0
A0A516V164,22.7,20.1,19.7,22.7,0,2.6,3,0,1,1
S4Z3G3,13,15,15.4,15.4,2.4,0.4,0,1,0,0
A0A516V168,21.8,21.1,20.8,21.8,0,0.7,1,0,0,0
A0A516V172,15.5,13.6,12.9,15.5,0,1.9,2.6,0,1,1
A0A516V166,21.6,19.2,19,21.6,0,2.4,2.6,0,1,1
A0A516V181,15.2,14.1,13,15.2,0,1.1,2.2,0,1,1
A0A516V177,15.2,14.1,13,15.2,0,1.1,2.2,0,1,1
A0A516V1A6,17.9,18,17.4,18,0.1,0,0.6,0,0,0
A0A337SDQ4,19.7,14,14.1,19.7,0,5.7,5.6,0,1,1
A0A2I2V3V8,26,22.8,22.5,26,0,3.2,3.5,0,1,1
A0A2I2US09,25.5,21.2,21.3,25.5,0,4.3,4.2,0,1,1
A0A2I2UDN6,24.7,20.3,19.8,24.7,0,4.4,4.9,0,1,1
M3X0B9,18.9,16.2,16.4,18.9,0,2.7,2.5,0,1,1
A0A2I2UES4,18.2,20.2,20.1,20.2,2,0,0.1,1,0,0
A0A2I2U011,29.5,27.9,27.5,29.5,0,1.6,2,0,1,1
A0A2I2UAM2,18.5,20.9,20.5,20.9,2.4,0,0.4,1,0,0
A0A5F5XFC0,16.4,14.3,17.1,17.1,0.7,2.8,0,0,1,0
A0A337SB41,19.1,17.1,16.5,19.1,0,2,2.6,0,1,1
M3WR11,26.4,20.1,20.2,26.4,0,6.3,6.2,0,1,1
M3XEV8,21.7,20.4,20.6,21.7,0,1.3,1.1,0,1,1
A0A2I2V2F6,22.3,19,18.9,22.3,0,3.3,3.4,0,1,1
M3WL17,23.8,26.9,26.8,26.9,3.1,0,0.1,1,0,0
A0A337S130,25.6,21,20.9,25.6,0,4.6,4.7,0,1,1
A0A2I2U6V1,20.3,17.9,18.2,20.3,0,2.4,2.1,0,1,1
Q2MHN1,21.8,21.2,20.6,21.8,0,0.6,1.2,0,0,1
A0A060PNW6,23.3,17.7,18.3,23.3,0,5.6,5,0,1,1
A0A337S4I1,23.9,19.7,20.2,23.9,0,4.2,3.7,0,1,1
M3W912,20,12.9,13.1,20,0,7.1,6.9,0,1,1
A0A5F5XT00,21.4,21.9,22.5,22.5,1.1,0.6,0,1,0,0
A0A5F5XZJ7,24.1,23.5,24,24.1,0,0.6,0.1,0,0,0
M3X4M3,20.7,21.8,19.7,21.8,1.1,0,2.1,1,0,1
M3X1P3,14.8,15.8,15.1,15.8,1,0,0.7,1,0,0
A0A2I2UH80,22.7,17.3,19,22.7,0,5.4,3.7,0,1,1
M3W3B8,22.8,16.1,16,22.8,0,6.7,6.8,0,1,1
A0A2I2U7V2,23.6,18.5,19.3,23.6,0,5.1,4.3,0,1,1
A0A5F5XKV2,21.4,15.7,15.7,21.4,0,5.7,5.7,0,1,1
A0A5F5XIY0,27.2,22.9,23.3,27.2,0,4.3,3.9,0,1,1
A0A5F5XGF8,18.7,24.3,24.5,24.5,5.8,0.2,0,1,0,0
A0A2I2U122,24.3,24.5,25.2,25.2,0.9,0.7,0,0,0,0
M3X9U2,20.3,13.2,12.7,20.3,0,7.1,7.6,0,1,1
A0A2I2UQ95,20.2,16.2,16.9,20.2,0,4,3.3,0,1,1
A0A5F5Y4N4,21.8,18.4,17.7,21.8,0,3.4,4.1,0,1,1
A0A5F5XTD3,24.5,22.3,22.3,24.5,0,2.2,2.2,0,1,1
A0A5F5Y2N0,22.2,23.2,22.7,23.2,1,0,0.5,1,0,0
A0A2I2UA27,21.2,20.6,20.7,21.2,0,0.6,0.5,0,0,0
